Invoice,StockCode,Description,Quantity,InvoiceDate,Price,Customer ID,Country
490745,35096B,RED VICTORIAN FABRIC HEART BOX,1,2009-12-07 18:02:00,0.86,,United Kingdom
491421,85063,CREAM SWEETHEART MAGAZINE RACK,1,2009-12-10 19:35:00,16.95,16798.0,United Kingdom
490095,82482,WOODEN PICTURE FRAME WHITE FINISH,6,2009-12-03 16:02:00,2.55,14958.0,United Kingdom
492547,21975,PACK OF 60 DINOSAUR CAKE CASES,24,2009-12-17 14:08:00,0.55,17103.0,United Kingdom
491971,90036E,"FLOWER GLASS GARLD NECKL36""AMETHYST",1,2009-12-14 18:37:00,8.24,,United Kingdom
491800,21563,RED HEART SHAPE LOVE BUCKET ,60,2009-12-14 12:58:00,2.55,17511.0,United Kingdom
489830,20914,SET/5 RED SPOTTY LID GLASS BOWLS,6,2009-12-02 13:57:00,2.95,13623.0,United Kingdom
490461,22222,CAKE PLATE LOVEBIRD WHITE,2,2009-12-06 12:07:00,4.95,13736.0,United Kingdom
492015,21482,MUSHROOM BLUE HOT WATER BOTTLE,6,2009-12-15 12:00:00,2.95,14911.0,EIRE
489822,47505,MINATURE COLOURED GARDENING SET,2,2009-12-02 13:26:00,4.95,14204.0,United Kingdom
489876,21210,SET OF 72 RETRO SPOT PAPER  DOILIES,1,2009-12-02 15:44:00,1.45,15917.0,United Kingdom
490099,22098,BOUDOIR SQUARE TISSUE BOX,12,2009-12-03 16:12:00,1.25,16736.0,United Kingdom
491825,85183B,CHARLIE & LOLA WASTEPAPER BIN FLORA,6,2009-12-14 14:02:00,3.75,13931.0,United Kingdom
C493329,22245,"HOOK, 1 HANGER ,MAGIC GARDEN",-14,2009-12-23 09:54:00,0.85,12472.0,Germany
491888,48116,DOOR MAT MULTICOLOUR STRIPE,2,2009-12-14 15:16:00,6.75,15867.0,United Kingdom
489579,35001G,HAND OPEN SHAPE GOLD,2,2009-12-01 13:41:00,4.25,16887.0,United Kingdom
491188,84992,72 SWEETHEART FAIRY CAKE CASES,2,2009-12-10 12:30:00,0.55,17377.0,United Kingdom
492806,21584,RETRO SPOT SMALL TUBE MATCHES,40,2009-12-20 12:21:00,1.65,14299.0,United Kingdom
490501,84378,SET OF 3 HEART COOKIE CUTTERS,2,2009-12-06 13:49:00,1.25,16710.0,United Kingdom
491971,22149,FELTCRAFT 6 FLOWER FRIENDS,2,2009-12-14 18:37:00,4.3,,United Kingdom
491199,22130,PARTY CONE CHRISTMAS DECORATION ,12,2009-12-10 13:12:00,0.85,15912.0,United Kingdom
489594,22062,CERAMIC BOWL WITH LOVE HEART DESIGN,1,2009-12-01 14:19:00,2.95,15005.0,United Kingdom
491712,22299,PIG KEYRING WITH LIGHT & SOUND ,1,2009-12-13 15:17:00,1.25,15562.0,United Kingdom
491634,82567,"AIRLINE LOUNGE,METAL SIGN",1,2009-12-11 15:40:00,2.1,17841.0,United Kingdom
491807,22070,SMALL RETRO SPOT MUG IN BOX  RED,2,2009-12-14 13:11:00,3.75,17318.0,United Kingdom
492839,79000,MOROCCAN TEA GLASS,12,2009-12-21 11:08:00,0.85,14085.0,United Kingdom
491812,70006,LOVE HEART POCKET WARMER,360,2009-12-14 13:23:00,0.79,13694.0,United Kingdom
491144,22114,HOT WATER BOTTLE TEA AND SYMPATHY,12,2009-12-09 17:10:00,3.95,15077.0,United Kingdom
490124,37508,NEW ENGLAND CERAMIC CAKE SERVER,3,2009-12-03 18:08:00,2.55,16791.0,United Kingdom
490002,21582,KINGS CHOICE SMALL TUBE MATCHES,4,2009-12-03 11:46:00,1.65,17322.0,United Kingdom
490143,20978,36 PENCILS TUBE SKULLS,16,2009-12-04 08:40:00,1.25,14286.0,United Kingdom
492414,84031B,CHARLIE LOLA BLUE HOT WATER BOTTLE ,1,2009-12-16 17:01:00,8.65,,United Kingdom
490465,72122,COFFEE SCENT PILLAR CANDLE,6,2009-12-06 12:14:00,0.95,13448.0,United Kingdom
C490807,10138,ASSORTED COLOUR JUMBO PEN,-96,2009-12-08 12:25:00,0.42,13091.0,United Kingdom
492782,35954,SMALL FOLKART STAR CHRISTMAS DEC,1,2009-12-18 17:06:00,3.43,,United Kingdom
492325,21934,SKULL SHOULDER BAG,10,2009-12-16 12:24:00,1.65,13641.0,United Kingdom
490396,22275,WEEKEND BAG VINTAGE ROSE PAISLEY,2,2009-12-06 10:26:00,8.5,13589.0,United Kingdom
491923,84006,MAGIC TREE -PAPER FLOWERS,12,2009-12-14 15:30:00,0.85,12839.0,United Kingdom
490302,84032A,CHARLIE+LOLA PINK HOT WATER BOTTLE,1,2009-12-04 14:29:00,2.95,17841.0,United Kingdom
491041,20970,PINK FLORAL FELTCRAFT SHOULDER BAG,2,2009-12-09 09:42:00,7.78,,United Kingdom
489916,84347,ROTATING SILVER ANGELS T-LIGHT HLDR,48,2009-12-03 10:37:00,2.55,15194.0,United Kingdom
492484,20759,CHRYSANTHEMUM POCKET BOOK ,3,2009-12-17 11:43:00,0.85,15862.0,United Kingdom
492035,22294,HEART FILIGREE DOVE  SMALL,24,2009-12-15 12:29:00,1.25,16202.0,United Kingdom
491738,21993,FLORAL FOLK STATIONERY SET,12,2009-12-14 10:49:00,2.95,12472.0,Germany
492362,20993,JAZZ HEARTS MEMO PAD,288,2009-12-16 13:49:00,0.19,15222.0,United Kingdom
490009,20967,GREY FLORAL FELTCRAFT SHOULDER BAG,2,2009-12-03 12:13:00,3.75,12835.0,United Kingdom
489783,21026,SPACE OWL,20,2009-12-02 11:47:00,1.25,13269.0,United Kingdom
491498,37503,TEA TIME CAKE STAND IN GIFT BOX,2,2009-12-11 12:17:00,10.75,12835.0,United Kingdom
492429,84706A,ENGLISH ROSE TABLE CLOCK,24,2009-12-17 09:09:00,1.95,13225.0,United Kingdom
490074,21559,STRAWBERRY LUNCHBOX WITH CUTLERY,3,2009-12-03 14:39:00,5.17,,United Kingdom
491637,22162,HEART GARLAND RUSTIC PADDED,8,2009-12-11 15:55:00,2.95,15984.0,United Kingdom
490074,47556B,TEA TIME TEA TOWELS ,1,2009-12-03 14:39:00,6.04,,United Kingdom
491941,35958,FOLKART ZINC STAR CHRISTMAS DEC,24,2009-12-14 15:42:00,0.85,12924.0,United Kingdom
492248,85232D,SET/3 DECOUPAGE STACKING TINS,24,2009-12-16 10:28:00,4.25,14646.0,Netherlands
489560,85208,SET/12 FUNKY FELT FLOWER PEG IN BAG,1,2009-12-01 12:56:00,2.1,13526.0,United Kingdom
490300,22150, 3 STRIPEY MICE FELTCRAFT,1,2009-12-04 14:19:00,1.95,12970.0,United Kingdom
489788,22315,200 RED + WHITE BENDY STRAWS,1,2009-12-02 11:55:00,1.25,13564.0,United Kingdom
492798,16015,MEDIUM CHINESE STYLE SCISSOR,3,2009-12-20 11:25:00,0.5,16011.0,United Kingdom
492170,72756,FAIRY CAKE CANDLES,18,2009-12-15 14:53:00,1.49,15566.0,United Kingdom
489743,21240,BLUE  SPOTTY CUP,8,2009-12-02 11:24:00,0.85,16550.0,United Kingdom
490496,90060C,FIRE POLISHED GLASS NECKL SILVER,5,2009-12-06 13:40:00,5.95,15547.0,United Kingdom
492644,84879,ASSORTED COLOUR BIRD ORNAMENT,48,2009-12-17 17:16:00,1.69,16200.0,United Kingdom
490741,21186,WHITE DOVE HONEYCOMB PAPER GARLAND,2,2009-12-07 17:56:00,3.43,,United Kingdom
493074,84879,ASSORTED COLOUR BIRD ORNAMENT,2,2009-12-22 09:45:00,26.04,,United Kingdom
489434,21232,STRAWBERRY CERAMIC TRINKET BOX,24,2009-12-01 07:45:00,1.25,13085.0,United Kingdom
490745,82613D,METAL SIGN CUPCAKE SINGLE HOOK,1,2009-12-07 18:02:00,2.57,,United Kingdom
491172,72756,FAIRY CAKE CANDLES,45,2009-12-10 11:40:00,1.49,16843.0,United Kingdom
489488,84327A,PINK JUMPER LARRY THE LAMB,2,2009-12-01 10:59:00,2.1,17238.0,United Kingdom
492768,20972,PINK CREAM FELT CRAFT TRINKET BOX ,12,2009-12-18 15:06:00,1.25,12839.0,United Kingdom
492413,21069,VINTAGE BILLBOARD TEA MUG,6,2009-12-16 16:25:00,1.25,12867.0,United Kingdom
490733,85042,ANTIQUE LILY FAIRY LIGHTS,12,2009-12-07 16:56:00,4.95,12540.0,Spain
490817,79026B,"S/4 ICON COASTER,ELVIS LIVES",3,2009-12-08 12:33:00,1.25,15311.0,United Kingdom
489999,84970L,SINGLE HEART ZINC T-LIGHT HOLDER,12,2009-12-03 11:25:00,0.95,17314.0,United Kingdom
493287,85114c,RED ENCHANTED FOREST PLACEMAT,6,2009-12-22 15:13:00,3.43,,United Kingdom
491717,21506,"FANCY FONT BIRTHDAY CARD, ",12,2009-12-13 15:54:00,0.42,16725.0,United Kingdom
491454,21110,LARGE CAKE TOWEL PINK SPOTS,4,2009-12-11 11:17:00,6.75,13077.0,United Kingdom
491613,21898,POTTING SHED ROSE CANDLE,4,2009-12-11 13:52:00,2.95,16952.0,United Kingdom
490382,22215,CAKE STAND WHITE TWO TIER LACE,4,2009-12-05 13:32:00,8.5,12359.0,Cyprus
491687,21620,S/4 ROSE    BOTANICAL  CANDLE,6,2009-12-13 12:57:00,3.75,15944.0,United Kingdom
C492693,D,Discount,-1,2009-12-17 18:47:00,6.85,13408.0,United Kingdom
490162,20660,VIP LUGGAGE TAG ,1,2009-12-04 11:07:00,1.25,13946.0,United Kingdom
491966,21256,"FRENCH BOTTLE, BRASSERIE DES ARTIST",1,2009-12-14 17:16:00,3.43,,United Kingdom
490286,84828,JUNGLE POPSICLES ICE LOLLY HOLDERS,6,2009-12-04 12:59:00,1.25,14527.0,United Kingdom
491083,21888,BINGO SET,5,2009-12-09 13:22:00,3.75,17954.0,United Kingdom
490366,22335,HEART DECORATION PAINTED ZINC ,24,2009-12-05 10:31:00,0.65,18071.0,United Kingdom
492516,22114,HOT WATER BOTTLE TEA AND SYMPATHY,4,2009-12-17 11:58:00,3.95,13448.0,United Kingdom
492229,21846,PINK DIAMANTE PEN IN GIFT BOX,48,2009-12-15 19:02:00,1.25,13473.0,United Kingdom
492801,22050,PINK PAISLEY ROSE GIFT WRAP,25,2009-12-20 12:04:00,0.42,17231.0,United Kingdom
490162,37408,ASSORTED DESIGN GEISHA GIRL MUGS,5,2009-12-04 11:07:00,1.25,13946.0,United Kingdom
492635,21122,SET/10 PINK SPOTTY PARTY CANDLES,48,2009-12-17 16:18:00,1.25,17526.0,United Kingdom
491174,84947,ANTIQUE SILVER TEA GLASS ENGRAVED,216,2009-12-10 11:45:00,1.06,17388.0,United Kingdom
489804,22157,ANGEL DECORATION WITH LACE PADDED,24,2009-12-02 12:38:00,0.85,14667.0,United Kingdom
491081,21054,NURSE'S BAG SOFT TOY,1,2009-12-09 13:11:00,8.95,15302.0,United Kingdom
491640,46775A,BUBBLE GUM CHUNKY KNITTED THROW ,1,2009-12-11 16:11:00,16.95,15898.0,United Kingdom
492373,21817,GLITTER CHRISTMAS TREE,2,2009-12-16 14:29:00,0.85,,United Kingdom
489765,22114,HOT WATER BOTTLE TEA AND SYMPATHY,1,2009-12-02 11:33:00,3.95,15353.0,United Kingdom
490782,47559B,TEA TIME OVEN GLOVE,10,2009-12-08 11:22:00,1.25,15079.0,United Kingdom
490928,21818,GLITTER CHRISTMAS HEART ,4,2009-12-08 13:41:00,0.85,14085.0,United Kingdom
489597,22353,LUNCHBOX WITH CUTLERY FAIRY CAKES ,1,2009-12-01 14:28:00,5.17,,United Kingdom
491675,20989,URBAN CHIC CHOPSTICKS SET/5,3,2009-12-13 12:04:00,1.95,16710.0,United Kingdom
491671,22079,RIBBON REEL HEARTS DESIGN ,5,2009-12-13 11:46:00,1.65,14161.0,United Kingdom
491971,84879,ASSORTED COLOUR BIRD ORNAMENT,2,2009-12-14 18:37:00,26.04,,United Kingdom
491640,85014C,BLUE/BROWN DOTS RUFFLED UMBRELLA,1,2009-12-11 16:11:00,5.95,15898.0,United Kingdom
492816,22350,CAT BOWL ,6,2009-12-20 13:30:00,2.55,12609.0,Germany
491969,21992,VINTAGE PAISLEY STATIONERY SET,1,2009-12-14 17:57:00,6.04,,United Kingdom
491043,22309,TEA COSY RED  STRIPE,1,2009-12-09 09:51:00,5.17,,United Kingdom
490521,85231B,CINAMMON SET OF 9 T-LIGHTS,2,2009-12-06 15:24:00,0.85,13211.0,United Kingdom
492075,84406B,CREAM CUPID HEARTS COAT HANGER,8,2009-12-15 13:21:00,3.25,17596.0,United Kingdom
491816,37503,TEA TIME CAKE STAND IN GIFT BOX,4,2009-12-14 13:36:00,10.75,14961.0,United Kingdom
491967,84032A,CHARLIE+LOLA PINK HOT WATER BOTTLE,2,2009-12-14 17:34:00,2.95,17012.0,United Kingdom
492370,22083,PAPER CHAIN KIT RETRO SPOT,1,2009-12-16 14:12:00,2.95,16891.0,United Kingdom
490512,35976B,WHITE SCANDINAVIAN HEART CHRISTMAS,1,2009-12-06 14:54:00,1.25,14606.0,United Kingdom
492588,82494L,WOODEN FRAME ANTIQUE WHITE ,6,2009-12-17 15:33:00,2.95,16150.0,United Kingdom
490149,22035,VINTAGE CARAVAN GREETING CARD ,1,2009-12-04 09:43:00,0.86,,United Kingdom
492783,84988,SET OF 72 PINK HEART PAPER DOILIES,1,2009-12-18 17:15:00,3.04,,United Kingdom
490734,84029C,BROWN FURRY HOT WATER BOTTLE,12,2009-12-07 16:56:00,3.75,13267.0,United Kingdom
492237,48197,DOOR MAT BIRD ON THE WIRE,150,2009-12-15 19:11:00,4.0,18102.0,United Kingdom
491643,79067,CORONA MEXICAN TRAY,6,2009-12-11 16:46:00,3.75,15856.0,United Kingdom
491116,22273,FELTCRAFT DOLL MOLLY,6,2009-12-09 14:55:00,2.95,15441.0,United Kingdom
489557,21039,RED SPOTTY SHOPPING BAG,12,2009-12-01 12:52:00,2.55,12490.0,France
491966,20692,FLORAL ELEPHANT SOFT TOY,1,2009-12-14 17:16:00,8.65,,United Kingdom
489830,22350,CAT BOWL ,2,2009-12-02 13:57:00,2.55,13623.0,United Kingdom
490769,21733,RED HANGING HEART T-LIGHT HOLDER,40,2009-12-08 11:13:00,2.55,16013.0,United Kingdom
491238,21499,BLUE SPOTS  WRAP,25,2009-12-10 14:48:00,0.42,16011.0,United Kingdom
493079,85065,CREAM SWEETHEART TRAYS,3,2009-12-22 09:52:00,26.04,,United Kingdom
491810,84666,SQUARE CHERRY BLOSSOM CABINET,6,2009-12-14 13:22:00,3.95,14401.0,United Kingdom
491825,22097,SWALLOW SQUARE TISSUE BOX,12,2009-12-14 14:02:00,1.25,13931.0,United Kingdom
490149,21041,RED SPOTTY OVEN GLOVE DOUBLE,1,2009-12-04 09:43:00,6.04,,United Kingdom
490099,20686,DOLLY MIXTURE CHILDREN'S UMBRELLA,6,2009-12-03 16:12:00,3.25,16736.0,United Kingdom
492245,22043,CHRISTMAS CARD SCREEN PRINT ,12,2009-12-16 09:41:00,0.42,15713.0,United Kingdom
492763,21157,RED SPOTTY WASHBAG,6,2009-12-18 14:28:00,2.1,17028.0,United Kingdom
489786,90214S,"LETTER ""S"" BLING KEY RING",1,2009-12-02 11:52:00,1.25,17019.0,United Kingdom
491966,20674,GREEN SPOTTY BOWL,1,2009-12-14 17:16:00,2.57,,United Kingdom
489652,85184C,S/4 VALENTINE DECOUPAGE HEART BOX,6,2009-12-01 17:08:00,2.95,15265.0,United Kingdom
490920,21380,WOODEN HAPPY BIRTHDAY GARLAND,2,2009-12-08 13:19:00,2.95,18203.0,United Kingdom
491803,15044B,BLUE PAPER PARASOL ,1,2009-12-14 13:06:00,2.95,16327.0,United Kingdom
491966,21445,12 PINK ROSE PEG PLACE SETTINGS,1,2009-12-14 17:16:00,2.57,,United Kingdom
492176,21014,SWISS CHALET TREE DECORATION ,1,2009-12-15 15:21:00,0.85,17841.0,United Kingdom
493073,22207,FRYING PAN UNION FLAG,5,2009-12-22 09:41:00,8.65,,United Kingdom
493073,85142,JARDIN ETCHED GLASS GINGER JAR,1,2009-12-22 09:41:00,16.48,,United Kingdom
490149,22112,CHOCOLATE HOT WATER BOTTLE,2,2009-12-04 09:43:00,11.26,,United Kingdom
490072,48187,DOOR MAT NEW ENGLAND,1,2009-12-03 14:28:00,6.75,17764.0,United Kingdom
493283,79302m,"ART LIGHTS,FUNK MONKEY",1,2009-12-22 15:12:00,6.04,,United Kingdom
490149,85135B,BLUE DRAGONFLY HELICOPTER,1,2009-12-04 09:43:00,8.65,,United Kingdom
489683,84990,60 GOLD AND SILVER FAIRY CAKE CASES,24,2009-12-02 10:09:00,0.55,16131.0,United Kingdom
491041,22339,CHRISTMAS TREE PAINTED ZINC ,1,2009-12-09 09:42:00,1.3,,United Kingdom
C492827,21232,STRAWBERRY CERAMIC TRINKET BOX,-1,2009-12-20 15:07:00,1.25,15329.0,United Kingdom
491969,21463,MIRRORED DISCO BALL ,1,2009-12-14 17:57:00,21.7,,United Kingdom
489912,85099C,JUMBO  BAG BAROQUE BLACK WHITE,10,2009-12-03 10:26:00,1.95,13931.0,United Kingdom
492251,20975,12 PENCILS SMALL TUBE RED SPOTTY,24,2009-12-16 10:51:00,0.65,14156.0,EIRE
492303,21671,RED SPOT CERAMIC DRAWER KNOB,1,2009-12-16 11:57:00,2.57,,United Kingdom
490941,71053,WHITE METAL LANTERN,2,2009-12-08 14:03:00,3.75,14527.0,United Kingdom
492771,20677,PINK SPOTTY BOWL,8,2009-12-18 15:29:00,1.25,17324.0,United Kingdom
492425,21391,FRENCH EMROIDR LAVENDER SCENT HEART,1,2009-12-16 17:58:00,4.3,,United Kingdom
492593,16258A,SWIRLY CIRCULAR RUBBERS IN BAG,1,2009-12-17 15:44:00,0.19,15917.0,United Kingdom
492414,21942,SKULLS DESIGN FLANNEL,1,2009-12-16 17:01:00,1.7,,United Kingdom
489645,82551,LAUNDRY 15C METAL SIGN,2,2009-12-01 16:34:00,1.25,17191.0,United Kingdom
491961,21210,SET OF 72 RETRO SPOT PAPER  DOILIES,12,2009-12-14 16:36:00,1.45,15640.0,United Kingdom
491209,90180A,BLACK+WHITE NECKLACE W TASSEL,1,2009-12-10 14:19:00,9.95,15573.0,United Kingdom
491670,84879,ASSORTED COLOUR BIRD ORNAMENT,48,2009-12-13 11:43:00,1.69,13089.0,United Kingdom
490494,21642,ASSORTED TUTTI FRUTTI PEN,1,2009-12-06 13:29:00,0.85,17561.0,United Kingdom
490957,22302,COFFEE MUG PEARS  DESIGN,18,2009-12-08 15:12:00,2.55,15823.0,United Kingdom
490609,22111,SCOTTIE DOG HOT WATER BOTTLE,2,2009-12-07 11:39:00,4.95,14037.0,United Kingdom
491719,22273,FELTCRAFT DOLL MOLLY,1,2009-12-13 16:03:00,2.95,17799.0,United Kingdom
490149,20974,12 PENCILS SMALL TUBE SKULL,2,2009-12-04 09:43:00,1.3,,United Kingdom
492714,20675,BLUE SPOTTY BOWL,1,2009-12-18 10:24:00,1.25,17913.0,United Kingdom
489683,84520B,PACK 20 ENGLISH ROSE PAPER NAPKINS,12,2009-12-02 10:09:00,0.85,16131.0,United Kingdom
493282,85098A,,1,2009-12-22 15:12:00,0.0,,United Kingdom
490782,20723,STRAWBERRY CHARLOTTE BAG,10,2009-12-08 11:22:00,0.85,15079.0,United Kingdom
492751,21824,PAINTED METAL STAR WITH HOLLY BELLS,2,2009-12-18 13:46:00,1.45,15768.0,United Kingdom
490052,21917,SET 12 KIDS  WHITE CHALK STICKS,24,2009-12-03 13:09:00,0.42,13895.0,United Kingdom
491113,22081,RIBBON REEL FLORA + FAUNA ,3,2009-12-09 14:48:00,1.65,14505.0,United Kingdom
490057,22301,COFFEE MUG CAT + BIRD DESIGN,12,2009-12-03 13:25:00,2.55,17465.0,United Kingdom
490052,21761,WOOD AND GLASS MEDICINE CABINET,1,2009-12-03 13:09:00,29.95,13895.0,United Kingdom
491803,20738,GREEN MINI TAPE MEASURE ,5,2009-12-14 13:06:00,0.85,16327.0,United Kingdom
493054,75049L,LARGE CIRCULAR MIRROR MOBILE,12,2009-12-21 16:35:00,1.25,,United Kingdom
490741,85064,CREAM SWEETHEART LETTER RACK,1,2009-12-07 17:56:00,11.26,,United Kingdom
491969,20729,RED SPOTTY CANDY BAG,1,2009-12-14 17:57:00,2.57,,United Kingdom
491064,21425,SKULLS STORAGE BOX LARGE,1,2009-12-09 11:58:00,2.95,16782.0,United Kingdom
489810,79323B,BLACK CHERRY LIGHTS,4,2009-12-02 12:47:00,6.75,18108.0,United Kingdom
489912,82616C,MIDNIGHT GLAMOUR SCARF KNITTING KIT,6,2009-12-03 10:26:00,2.95,13931.0,United Kingdom
493288,21523,FANCY FONT HOME SWEET HOME DOORMAT,1,2009-12-22 15:13:00,13.87,,United Kingdom
490066,84836,ZINC METAL HEART DECORATION,24,2009-12-03 14:00:00,1.25,15953.0,United Kingdom
490745,20906,VINTAGE NOTEBOOK BEAUTY GIRL,2,2009-12-07 18:02:00,6.04,,United Kingdom
491703,22271,FELTCRAFT DOLL ROSIE,1,2009-12-13 14:01:00,2.95,14525.0,United Kingdom
492782,90177C,DROP DIAMANTE EARRINGS CRYSTAL,1,2009-12-18 17:06:00,3.03,,United Kingdom
490149,35916C,PINK FELT HANGING HEART W FLOWER,2,2009-12-04 09:43:00,1.7,,United Kingdom
491077,21041,RED SPOTTY OVEN GLOVE DOUBLE,1,2009-12-09 12:57:00,2.95,14593.0,United Kingdom
490524,21172,PARTY METAL SIGN ,12,2009-12-06 15:35:00,1.45,14123.0,United Kingdom
492226,21580,RABBIT  DESIGN  COTTON TOTE BAG,1,2009-12-15 18:33:00,5.17,,United Kingdom
491672,20770,ABSTRACT CIRCLE JOURNAL ,18,2009-12-13 11:46:00,0.85,17172.0,United Kingdom
492548,21116,OWL DOORSTOP,1,2009-12-17 14:14:00,4.95,,United Kingdom
491717,21336,GOLD WASHBAG,1,2009-12-13 15:54:00,2.95,16725.0,United Kingdom
492705,22082,RIBBON REEL STRIPES DESIGN ,5,2009-12-17 19:42:00,1.65,14702.0,United Kingdom
493079,84902,PINK KNITTED COW STUFFED TOY,1,2009-12-22 09:52:00,4.3,,United Kingdom
C490979,85047,WHITE BEADED GARLAND STRING 20LIGHT,-3,2009-12-08 16:51:00,6.35,13468.0,United Kingdom
493395,21929,JUMBO BAG PINK VINTAGE PAISLEY,10,2009-12-23 13:41:00,1.95,12539.0,Spain
489654,20716,PARTY FOOD SHOPPER BAG,3,2009-12-01 17:19:00,1.25,15750.0,United Kingdom
492807,79323W, WHITE CHERRY LIGHTS,3,2009-12-20 12:29:00,6.75,17211.0,United Kingdom
490127,22415,WHITE TISSUE REAM,1,2009-12-03 18:13:00,7.95,14156.0,EIRE
489599,21431,GREEN GINGHAM FLOWER JEWELLERY BOX,16,2009-12-01 14:40:00,1.65,12758.0,Portugal
489856,22338,STAR DECORATION PAINTED ZINC ,3,2009-12-02 14:36:00,1.3,,United Kingdom
489832,85099C,JUMBO  BAG BAROQUE BLACK WHITE,4,2009-12-02 14:06:00,1.95,14549.0,United Kingdom
490078,35004G,SET OF 3 GOLD FLYING DUCKS,4,2009-12-03 15:09:00,6.35,17853.0,United Kingdom
489808,21212,PACK OF 72 RETRO SPOT CAKE CASES,4,2009-12-02 12:44:00,0.55,14467.0,United Kingdom
490757,82081,PINK HEARTS PHOTO ALBUM,12,2009-12-08 09:35:00,1.95,14215.0,United Kingdom
490047,21687,SILVER PLATE CANDLE BOWL LARGE,8,2009-12-03 13:02:00,3.75,17913.0,United Kingdom
493074,17003,BROCADE RING PURSE ,1,2009-12-22 09:45:00,0.43,,United Kingdom
490612,84406B,CREAM CUPID HEARTS COAT HANGER,8,2009-12-07 11:46:00,3.25,17508.0,Greece
492813,21218,RED SPOTTY BISCUIT TIN,6,2009-12-20 13:14:00,3.75,17920.0,United Kingdom
492303,72740A,LARGE STRAWBERRY CHOCOLATE CANDLE,3,2009-12-16 11:57:00,5.17,,United Kingdom
489536,17164D,ASS COL SMALL SAND FROG P'WEIGHT,1,2009-12-01 12:13:00,0.42,16393.0,United Kingdom
491833,21381,MINI WOODEN HAPPY BIRTHDAY GARLAND,2,2009-12-14 14:35:00,1.69,12926.0,United Kingdom
492303,84581,DOG TOY WITH PINK CROCHET SKIRT,2,2009-12-16 11:57:00,4.3,,United Kingdom
491969,21644,ASSORTED TUTTI FRUTTI HEART BOX,1,2009-12-14 17:57:00,2.57,,United Kingdom
490408,82486,WOOD S/3 CABINET ANT WHITE FINISH,6,2009-12-06 11:33:00,6.95,17850.0,United Kingdom
491427,20685,RED SPOTTY COIR DOORMAT,1,2009-12-10 20:22:00,6.75,14702.0,United Kingdom
